base_seed,gate_seed,budget,layer,decisions,proxy_mlp_minus_margin,mlp_fraction_k2,margin_fraction_k2,mlp_recall_top5,margin_recall_top5,mlp_recall_top10,margin_recall_top10,recall_top10_difference,mlp_mean_selected_delta,margin_mean_selected_delta,layer_delta_mean,layer_delta_p90,layer_entropy_mean
602,22,1.2,3,25600,-0.0015031883865594864,0.2366015625,0.167578125,0.6421875,0.59921875,0.548046875,0.475,0.07304687500000007,0.05641505197465509,0.07068166599407062,0.01681583806872368,0.14697265625,1.3466752936097328
602,22,1.2,5,25600,0.0018121791258454323,0.1436328125,0.301484375,0.38828125,0.7328125,0.331640625,0.60625,-0.27460937499999993,0.0236484536924925,0.017277422887916297,0.005615872964262962,0.1328125,1.5596182162174954
602,22,1.3,1,25600,-3.964241594076157e-05,0.359296875,0.2306640625,0.60546875,0.6203125,0.521875,0.5,0.021874999999999978,0.021403324502943702,0.03316730447586667,0.010852279737591744,0.1337890625,1.477668886751635
602,22,1.3,3,25600,-0.0007920611649751663,0.3278125,0.24453125,0.71953125,0.74609375,0.63203125,0.61484375,0.017187500000000022,0.0446207255153456,0.05657833269990671,0.01681583806872368,0.14697265625,1.3466752936097328
602,22,1.3,5,25600,0.0017461888492107391,0.228515625,0.433828125,0.4953125,0.88125,0.44375,0.777734375,-0.333984375,0.018009330227843717,0.01351134669302005,0.005615872964262962,0.1328125,1.5596182162174954
602,33,1.1,1,25600,-0.00017992153763771057,0.1126953125,0.0632421875,0.321875,0.25625,0.247265625,0.176953125,0.0703125,0.04033645914167011,0.06903316445966205,0.010852279737591744,0.1337890625,1.477668886751635
602,33,1.1,3,25600,-0.0015841496363282203,0.1048828125,0.0865625,0.4265625,0.34765625,0.328515625,0.26015625,0.068359375,0.08709706567519204,0.08722986942594232,0.01681583806872368,0.14697265625,1.3466752936097328
602,33,1.1,5,25600,0.00023539397865533827,0.0875,0.152890625,0.29765625,0.43046875,0.234375,0.337109375,-0.10273437499999999,0.035314697027206424,0.021750385077802515,0.005615872964262962,0.1328125,1.5596182162174954
602,33,1.2,1,25600,-0.0001562611758708954,0.2244921875,0.136796875,0.48984375,0.46953125,0.406640625,0.348046875,0.05859375,0.03046646735471955,0.04885508331961117,0.010852279737591744,0.1337890625,1.477668886751635
602,33,1.2,3,25600,0.000205317921936512,0.1890625,0.167578125,0.540625,0.59921875,0.44921875,0.475,-0.025781249999999978,0.06156367940350998,0.07068166599407062,0.01681583806872368,0.14697265625,1.3466752936097328
602,33,1.2,5,25600,0.0018629074096679688,0.1828515625,0.301484375,0.42578125,0.7328125,0.35859375,0.60625,-0.24765624999999997,0.018298807981507795,0.017277422887916297,0.005615872964262962,0.1328125,1.5596182162174954
602,33,1.3,1,25600,0.0003168877959251404,0.329296875,0.2306640625,0.57734375,0.6203125,0.500390625,0.5,0.0003906249999999778,0.022270534442978537,0.03316730447586667,0.010852279737591744,0.1337890625,1.477668886751635
